epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2985.52,1.18362,0.70086,0.95524,0.81327,0.66448,0.73361,0.41952,1.3843,0.79687,0.99901,0.005248,0.005248,0.005248
98,3014.93,1.18374,0.70209,0.94808,0.81469,0.662,0.73175,0.41815,1.39497,0.79931,1.00371,0.0051985,0.0051985,0.0051985
99,3044.51,1.20314,0.71307,0.95205,0.8109,0.65825,0.73006,0.4173,1.39427,0.80577,1.00092,0.005149,0.005149,0.005149
100,3073.84,1.19004,0.70018,0.95177,0.82008,0.65363,0.72896,0.41576,1.39246,0.79345,1.00337,0.0050995,0.0050995,0.0050995
101,3103.22,1.19026,0.71145,0.9536,0.81614,0.66353,0.73759,0.41972,1.39578,0.79532,1.00396,0.00505,0.00505,0.00505
102,3132.67,1.18308,0.70227,0.94579,0.84587,0.65257,0.7413,0.42174,1.38929,0.78835,1.00352,0.0050005,0.0050005,0.0050005
103,3162.26,1.18171,0.69423,0.94909,0.83543,0.65731,0.74066,0.42598,1.3797,0.77699,0.99838,0.004951,0.004951,0.004951
104,3191.95,1.18357,0.70126,0.94405,0.82931,0.65693,0.73668,0.42287,1.38768,0.78773,1.00061,0.0049015,0.0049015,0.0049015
105,3221.78,1.18172,0.70442,0.94797,0.82572,0.66374,0.74235,0.42727,1.37634,0.78438,0.9929,0.004852,0.004852,0.004852
106,3251.2,1.16427,0.68004,0.94506,0.8552,0.64911,0.74331,0.43054,1.37489,0.779,0.99383,0.0048025,0.0048025,0.0048025
107,3280.64,1.18337,0.70741,0.94552,0.83205,0.66171,0.74098,0.4276,1.38047,0.78215,0.99378,0.004753,0.004753,0.004753
108,3310.06,1.16945,0.69291,0.94165,0.84137,0.65974,0.74341,0.42772,1.38122,0.78573,0.99276,0.0047035,0.0047035,0.0047035
109,3339.54,1.16911,0.69617,0.94468,0.84242,0.65538,0.74011,0.42478,1.38255,0.78981,0.99695,0.004654,0.004654,0.004654
110,3369.03,1.17869,0.69644,0.94541,0.84009,0.65774,0.74068,0.42549,1.38014,0.78205,0.9962,0.0046045,0.0046045,0.0046045
111,3398.57,1.1723,0.69032,0.94763,0.84579,0.64705,0.73917,0.42494,1.37259,0.7852,0.99439,0.004555,0.004555,0.004555
112,3428.04,1.15331,0.67786,0.94154,0.83038,0.65818,0.7387,0.42275,1.37544,0.78984,0.99303,0.0045055,0.0045055,0.0045055
113,3457.47,1.16739,0.68494,0.94395,0.83477,0.65119,0.74199,0.42649,1.37377,0.7819,0.99308,0.004456,0.004456,0.004456
114,3487.24,1.15135,0.68449,0.94231,0.83764,0.64605,0.74023,0.4269,1.37083,0.78164,0.99161,0.0044065,0.0044065,0.0044065
115,3516.73,1.15899,0.67769,0.93801,0.82218,0.66324,0.7427,0.42882,1.36649,0.77827,0.98926,0.004357,0.004357,0.004357
116,3546.18,1.14473,0.6756,0.9423,0.82476,0.65797,0.73958,0.42773,1.36203,0.78623,0.98978,0.0043075,0.0043075,0.0043075
117,3575.87,1.1431,0.67634,0.93851,0.81559,0.66777,0.74233,0.4297,1.36059,0.78045,0.99281,0.004258,0.004258,0.004258
118,3605.31,1.14542,0.66391,0.93552,0.81801,0.66473,0.74666,0.42866,1.37249,0.77984,0.99498,0.0042085,0.0042085,0.0042085
119,3635.12,1.14488,0.66528,0.93719,0.82425,0.66467,0.74564,0.42955,1.37588,0.77665,0.99581,0.004159,0.004159,0.004159
120,3664.85,1.13245,0.66277,0.93574,0.82312,0.66709,0.7444,0.42873,1.37139,0.77675,0.99746,0.0041095,0.0041095,0.0041095
121,3694.58,1.14138,0.66949,0.93703,0.84133,0.66007,0.74641,0.42793,1.37922,0.77015,1.00149,0.00406,0.00406,0.00406
122,3724.17,1.14252,0.66742,0.9353,0.82497,0.66604,0.74581,0.4286,1.37454,0.7648,0.99936,0.0040105,0.0040105,0.0040105
123,3753.91,1.14613,0.67063,0.93771,0.82539,0.66989,0.74602,0.42807,1.37031,0.76963,0.9957,0.003961,0.003961,0.003961
124,3783.45,1.1424,0.67176,0.93804,0.82384,0.669,0.74393,0.42868,1.37275,0.7783,0.99884,0.0039115,0.0039115,0.0039115
125,3813.27,1.1314,0.66094,0.93307,0.8248,0.6651,0.73993,0.42731,1.37248,0.77555,1.00033,0.003862,0.003862,0.003862
126,3843.02,1.1379,0.66159,0.93155,0.81623,0.66426,0.73873,0.42839,1.36891,0.77019,0.99711,0.0038125,0.0038125,0.0038125
127,3872.51,1.12566,0.65471,0.93026,0.83019,0.66189,0.7416,0.42952,1.36403,0.77155,0.99325,0.003763,0.003763,0.003763
128,3902.26,1.12424,0.64789,0.93016,0.85631,0.64761,0.74246,0.43061,1.36243,0.76999,0.99249,0.0037135,0.0037135,0.0037135
129,3931.9,1.11747,0.65331,0.92841,0.83848,0.66293,0.74482,0.43213,1.36539,0.7689,0.99276,0.003664,0.003664,0.003664
130,3962.06,1.10715,0.64365,0.93098,0.82863,0.66646,0.74401,0.43189,1.36599,0.77267,0.99304,0.0036145,0.0036145,0.0036145
131,3991.64,1.11925,0.64413,0.92628,0.82078,0.66078,0.74132,0.43032,1.3665,0.77609,0.99257,0.003565,0.003565,0.003565
132,4021.3,1.11258,0.64323,0.92472,0.81328,0.67105,0.74296,0.43196,1.36713,0.77636,0.99339,0.0035155,0.0035155,0.0035155
